Year,Popularity,Keyword
2004-01,4,Pablo
2004-02,4,Pablo
2004-03,4,Pablo
2004-04,4,Pablo
2004-05,4,Pablo
2004-06,4,Pablo
2004-07,4,Pablo
2004-08,4,Pablo
2004-09,4,Pablo
2004-10,4,Pablo
2004-11,4,Pablo
2004-12,4,Pablo
2005-01,9,Pablo
2005-02,9,Pablo
2005-03,9,Pablo
2005-04,9,Pablo
2005-05,9,Pablo
2005-06,9,Pablo
2005-07,9,Pablo
2005-08,9,Pablo
2005-09,9,Pablo
2005-10,9,Pablo
2005-11,9,Pablo
2005-12,9,Pablo
2006-01,6,Pablo
2006-02,6,Pablo
2006-03,6,Pablo
2006-04,6,Pablo
2006-05,6,Pablo
2006-06,6,Pablo
2006-07,6,Pablo
2006-08,6,Pablo
2006-09,6,Pablo
2006-10,6,Pablo
2006-11,6,Pablo
2006-12,6,Pablo
2007-01,2,Pablo
2007-02,2,Pablo
2007-03,2,Pablo
2007-04,2,Pablo
2007-05,2,Pablo
2007-06,2,Pablo
2007-07,2,Pablo
2007-08,2,Pablo
2007-09,2,Pablo
2007-10,2,Pablo
2007-11,2,Pablo
2007-12,2,Pablo
2008-01,7,Pablo
2008-02,7,Pablo
2008-03,7,Pablo
2008-04,7,Pablo
2008-05,7,Pablo
2008-06,7,Pablo
2008-07,7,Pablo
2008-08,7,Pablo
2008-09,7,Pablo
2008-10,7,Pablo
2008-11,7,Pablo
2008-12,7,Pablo
2009-01,8,Pablo
2009-02,8,Pablo
2009-03,8,Pablo
2009-04,8,Pablo
2009-05,8,Pablo
2009-06,8,Pablo
2009-07,8,Pablo
2009-08,8,Pablo
2009-09,8,Pablo
2009-10,8,Pablo
2009-11,8,Pablo
2009-12,8,Pablo
2010-01,7,Pablo
2010-02,7,Pablo
2010-03,7,Pablo
2010-04,7,Pablo
2010-05,7,Pablo
2010-06,7,Pablo
2010-07,7,Pablo
2010-08,7,Pablo
2010-09,7,Pablo
2010-10,7,Pablo
2010-11,7,Pablo
2010-12,7,Pablo
2011-01,5,Pablo
2011-02,5,Pablo
2011-03,5,Pablo
2011-04,5,Pablo
2011-05,5,Pablo
2011-06,5,Pablo
2011-07,5,Pablo
2011-08,5,Pablo
2011-09,5,Pablo
2011-10,5,Pablo
2011-11,5,Pablo
2011-12,5,Pablo
2012-01,8,Pablo
2012-02,8,Pablo
2012-03,8,Pablo
2012-04,8,Pablo
2012-05,8,Pablo
2012-06,8,Pablo
2012-07,8,Pablo
2012-08,8,Pablo
2012-09,8,Pablo
2012-10,8,Pablo
2012-11,8,Pablo
2012-12,8,Pablo
2013-01,5,Pablo
2013-02,5,Pablo
2013-03,5,Pablo
2013-04,5,Pablo
2013-05,5,Pablo
2013-06,5,Pablo
2013-07,5,Pablo
2013-08,5,Pablo
2013-09,5,Pablo
2013-10,5,Pablo
2013-11,5,Pablo
2013-12,5,Pablo
2014-01,7,Pablo
2014-02,7,Pablo
2014-03,7,Pablo
2014-04,7,Pablo
2014-05,7,Pablo
2014-06,7,Pablo
2014-07,7,Pablo
2014-08,7,Pablo
2014-09,7,Pablo
2014-10,7,Pablo
2014-11,7,Pablo
2014-12,7,Pablo
2015-01,6,Pablo
2015-02,6,Pablo
2015-03,6,Pablo
2015-04,6,Pablo
2015-05,6,Pablo
2015-06,6,Pablo
2015-07,6,Pablo
2015-08,6,Pablo
2015-09,6,Pablo
2015-10,6,Pablo
2015-11,6,Pablo
2015-12,6,Pablo
2016-01,9,Pablo
2016-02,9,Pablo
2016-03,9,Pablo
2016-04,9,Pablo
2016-05,9,Pablo
2016-06,9,Pablo
2016-07,9,Pablo
2016-08,9,Pablo
2016-09,9,Pablo
2016-10,9,Pablo
2016-11,9,Pablo
2016-12,9,Pablo
2017-01,10,Pablo
2017-02,10,Pablo
2017-03,10,Pablo
2017-04,10,Pablo
2017-05,10,Pablo
2017-06,10,Pablo
2017-07,10,Pablo
2017-08,10,Pablo
2017-09,10,Pablo
2017-10,10,Pablo
2017-11,10,Pablo
2017-12,10,Pablo
2018-01,12,Pablo
2018-02,12,Pablo
2018-03,12,Pablo
2018-04,12,Pablo
